METHOD,Count,METHOD CLEAN
Hanging,9133,Hanging
Electrocution,4185,Electrocution
Lethal Injection,619,Lethal Injection 
Gas,540,Gas
Injection,193,Injection
Shot,141,Shot
Burned,50,Burned
unknown,41,Unknown
Other,24,Other
Hanging 18,11,Hanging
Break on Wheel,11,Break on Wheel
Hanging 2,9,Hanging
Hanging 19,8,Hanging
Hanging 27,7,Hanging
Hanging 10,7,Hanging
Hanging 13,7,Hanging
Hanging 12,7,Hanging
Hanging 15,7,Hanging
Hanging 16,7,Hanging
Hanging 1,6,Hanging
Hanging 3,6,Hanging
Hanging 29,6,Hanging
Gibbeted,6,Gibbeted
Hung in Chains,6,Hung in Chains
Hanging 30,6,Hanging
Hanging 20,5,Hanging
Hanging 26,5,Hanging
Hanging 14,5,Hanging
Hanging 4,5,Hanging
Hanging 21,5,Hanging
Hanging 7,4,Hanging
Burned 12,4,Burned
Hanging 22,3,Hanging
Electrocution 4,3,Electrocution
Burned 16,3,Burned
Hanging 17,3,Hanging
Hanging 28,3,Hanging
Electrocution 28,3,Electrocution
Hanging 5,2,Hanging
Bludgeoned,2,Bludgeoned
Hanging 9,2,Hanging
Hanging 6,2,Hanging
Burned 21,2,Burned
Electrocution 5,2,Electrocution
Electrocution 16,2,Electrocution
Electrocution 2,2,Electrocution
Electrocution 8,2,Electrocution
Electrocution 18,2,Electrocution
Burned 15,2,Burned
Electrocution 27,2,Electrocution
Burned 18,1,Burned
Break on Wheel11,1,Break on Wheel
unknown 12,1,Unknown
Burned 27,1,Burned
Hanging 31,1,Hanging
Burned 4,1,Burned
Hung in Chains 11,1,Hung in Chains
Pressing,1,Pressing
Burned 14,1,Burned
Electrocution 31,1,Electrocution
Firing Squad,1,Firing Squad
unknown 15,1,Unknown
Electrocution 20,1,Electrocution
Hanging 11,1,Hanging
Electrocution 22,1,Electrocution
Electrocution 1,1,Electrocution
Hung in Chains 4,1,Hung in Chains
Hung in Chains 3,1,Hung in Chains
Hanging 23,1,Hanging
Hanging 24,1,Hanging
Hanging 8,1,Hanging
Electrocution 14,1,Electrocution
Shot 20,1,Shot
Electrocution 3,1,Electrocution
Burned 11,1,Burned
,,Missing